epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9311,2.61413,6.23091,1.84658,0.25418,0.01477,0.00218,0.00159,1.60551,5.47543,1.27602,1.72e-06,1.72e-06,1.72e-06
2,14.9137,2.43609,6.18245,1.79431,0.0041,0.02418,0.00376,0.00256,1.60664,5.4133,1.28047,3.86234e-06,3.86234e-06,3.86234e-06
3,18.1542,2.36478,6.1103,1.77732,0.00504,0.02069,0.00454,0.00305,1.60911,5.32552,1.28535,5.99616e-06,5.99616e-06,5.99616e-06
4,21.247,2.20564,6.00509,1.6742,0.00408,0.01883,0.00371,0.00242,1.61607,5.27188,1.29775,8.12147e-06,8.12147e-06,8.12147e-06
5,24.1967,2.24775,5.98838,1.64328,0.00239,0.0172,0.00264,0.00177,1.63305,5.2187,1.31766,1.02383e-05,1.02383e-05,1.02383e-05
6,27.8007,2.12397,5.93536,1.57415,0.00217,0.01818,0.00235,0.0016,1.62799,5.18432,1.32177,1.23465e-05,1.23465e-05,1.23465e-05
7,30.8534,2.0931,5.89915,1.5934,0.00202,0.02061,0.00227,0.0015,1.60689,5.11991,1.31429,1.44463e-05,1.44463e-05,1.44463e-05
8,33.8441,2.00842,5.75542,1.55607,0.00188,0.0202,0.0023,0.00153,1.58626,5.07508,1.30588,1.65376e-05,1.65376e-05,1.65376e-05
9,36.8843,1.96002,5.70526,1.49891,0.00185,0.02191,0.00213,0.00135,1.56851,5.03016,1.30546,1.86203e-05,1.86203e-05,1.86203e-05
10,41.3073,1.87088,5.56993,1.48524,0.00183,0.0224,0.00208,0.00127,1.5625,5.00106,1.30741,2.06945e-05,2.06945e-05,2.06945e-05
11,44.3882,1.93162,5.52093,1.46195,0.00612,0.02446,0.0044,0.00215,1.5622,4.98225,1.3111,2.27602e-05,2.27602e-05,2.27602e-05
12,47.4194,1.81778,5.49608,1.43714,0.00895,0.01497,0.00737,0.00394,1.57446,4.96839,1.32175,2.48174e-05,2.48174e-05,2.48174e-05
13,50.7033,1.67677,5.2436,1.38082,0.01068,0.02714,0.00974,0.00499,1.5819,4.9585,1.32914,2.68661e-05,2.68661e-05,2.68661e-05
