epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6339,2.47375,6.25053,1.78257,0,0,0,0,1.56521,5.55932,1.26635,1.35e-06,1.35e-06,1.35e-06
2,14.6891,2.41868,6.25271,1.79118,0.00055,0.01163,0.00061,0.00049,1.56896,5.51872,1.26966,3.14376e-06,3.14376e-06,3.14376e-06
3,17.5093,2.3276,6.18364,1.7333,0.00071,0.0118,0.00083,0.0006,1.57036,5.47813,1.27318,4.9304e-06,4.9304e-06,4.9304e-06
4,21.0445,2.32865,6.14798,1.70636,0.00068,0.0118,0.001,0.00073,1.58003,5.42194,1.28253,6.70991e-06,6.70991e-06,6.70991e-06
5,24.1257,2.28493,6.10508,1.65804,0.00525,0.01488,0.00365,0.00223,1.58616,5.38067,1.28691,8.48228e-06,8.48228e-06,8.48228e-06
6,27.2245,2.29902,6.03798,1.66843,0.00434,0.01544,0.00374,0.00238,1.59359,5.32209,1.29685,1.02475e-05,1.02475e-05,1.02475e-05
7,29.8589,2.28495,6.08686,1.67376,0.00331,0.02561,0.0057,0.00311,1.60331,5.27313,1.30893,1.20057e-05,1.20057e-05,1.20057e-05
8,32.9605,2.0341,5.92215,1.52001,0.00304,0.02561,0.0077,0.00411,1.59948,5.2168,1.31072,1.37567e-05,1.37567e-05,1.37567e-05
9,36.0467,2.09314,5.91967,1.60778,0.00304,0.02561,0.00766,0.00464,1.58849,5.16421,1.3106,1.55005e-05,1.55005e-05,1.55005e-05
10,38.703,2.02938,5.85485,1.50515,0.00243,0.02544,0.00794,0.00499,1.58177,5.1113,1.30899,1.72373e-05,1.72373e-05,1.72373e-05
11,41.3878,2.06014,5.74639,1.5583,0.00272,0.02599,0.00629,0.00424,1.57567,5.06379,1.30627,1.89669e-05,1.89669e-05,1.89669e-05
12,43.9519,1.91138,5.69434,1.42027,0.0059,0.02852,0.00737,0.00469,1.57317,5.00478,1.30598,2.06894e-05,2.06894e-05,2.06894e-05
13,47.0174,1.80534,5.50247,1.40227,0.00741,0.02899,0.00811,0.00581,1.58393,4.94313,1.31482,2.24047e-05,2.24047e-05,2.24047e-05
14,50.0578,1.7839,5.42605,1.42183,0.00591,0.01613,0.00745,0.00478,1.59602,4.91605,1.32192,2.41129e-05,2.41129e-05,2.41129e-05
15,52.5969,1.75849,5.39094,1.37594,0.00751,0.03375,0.00758,0.00484,1.60503,4.88628,1.33219,2.5814e-05,2.5814e-05,2.5814e-05
16,55.1614,1.79811,5.35015,1.38389,0.00693,0.03488,0.0069,0.00429,1.60781,4.88457,1.33751,2.7508e-05,2.7508e-05,2.7508e-05
17,57.6509,1.66427,5.19163,1.33882,0.26369,0.02237,0.005,0.00345,1.61303,4.88034,1.34421,2.91948e-05,2.91948e-05,2.91948e-05
18,60.7486,1.71524,5.12054,1.34952,0.34489,0.02302,0.00497,0.00345,1.61631,4.86386,1.34941,3.08746e-05,3.08746e-05,3.08746e-05
19,63.609,1.70846,5.11391,1.31583,0.42633,0.02195,0.00505,0.00347,1.61549,4.86519,1.34955,3.25472e-05,3.25472e-05,3.25472e-05
20,66.1523,1.65279,4.93791,1.30547,0.37037,0.023,0.00527,0.0036,1.61955,4.87494,1.35222,3.42126e-05,3.42126e-05,3.42126e-05
21,68.7486,1.65959,5.01968,1.26871,0.25054,0.02467,0.00516,0.00334,1.62904,4.89718,1.3584,3.58709e-05,3.58709e-05,3.58709e-05
22,71.2567,1.62148,4.6333,1.27357,0.38103,0.02258,0.00519,0.0035,1.63645,4.891,1.36101,3.75221e-05,3.75221e-05,3.75221e-05
23,74.1097,1.62137,4.64729,1.29062,0.00637,0.02845,0.00616,0.00395,1.63836,4.87377,1.36081,3.91662e-05,3.91662e-05,3.91662e-05
24,77.017,1.63092,4.65251,1.2903,0.31098,0.02292,0.00616,0.00405,1.63722,4.85434,1.36045,4.08032e-05,4.08032e-05,4.08032e-05
25,79.5771,1.63874,4.5162,1.29184,0.37312,0.02287,0.00648,0.00425,1.63588,4.84078,1.36018,4.2433e-05,4.2433e-05,4.2433e-05
26,82.0538,1.66593,4.56499,1.27456,0.20625,0.02964,0.00733,0.00467,1.63302,4.83417,1.35993,4.27725e-05,4.27725e-05,4.27725e-05
27,84.6169,1.61862,4.44905,1.26128,0.12531,0.03929,0.00841,0.00541,1.62807,4.81743,1.35931,4.26834e-05,4.26834e-05,4.26834e-05
28,87.2555,1.58301,4.23383,1.2092,0.27978,0.02885,0.01054,0.00658,1.62737,4.80896,1.35698,4.25943e-05,4.25943e-05,4.25943e-05
29,90.4614,1.63228,4.32593,1.21394,0.25787,0.04241,0.0163,0.00982,1.62059,4.82053,1.35471,4.25052e-05,4.25052e-05,4.25052e-05
30,92.9978,1.60234,4.2127,1.23618,0.3419,0.0387,0.01732,0.01061,1.61728,4.83301,1.35171,4.24161e-05,4.24161e-05,4.24161e-05
31,95.5143,1.62535,4.08895,1.2335,0.43017,0.03535,0.01766,0.01083,1.62153,4.83327,1.35287,4.2327e-05,4.2327e-05,4.2327e-05
32,98.0567,1.5545,3.97338,1.19429,0.49472,0.03092,0.01862,0.01113,1.62337,4.83046,1.35442,4.22379e-05,4.22379e-05,4.22379e-05
33,100.745,1.54629,3.91956,1.21436,0.50216,0.02997,0.0194,0.0117,1.61916,4.80859,1.35037,4.21488e-05,4.21488e-05,4.21488e-05
34,104.079,1.61942,3.98552,1.20031,0.49915,0.03212,0.01957,0.01179,1.61124,4.79769,1.34743,4.20597e-05,4.20597e-05,4.20597e-05
35,106.672,1.53922,3.80984,1.22992,0.46508,0.0416,0.02007,0.01202,1.603,4.7723,1.34216,4.19706e-05,4.19706e-05,4.19706e-05
36,109.148,1.5491,3.77903,1.2165,0.41505,0.04354,0.02097,0.01255,1.59865,4.75729,1.34198,4.18815e-05,4.18815e-05,4.18815e-05
37,111.707,1.59074,3.86048,1.18392,0.35522,0.0446,0.02133,0.01271,1.59015,4.74424,1.33971,4.17924e-05,4.17924e-05,4.17924e-05
38,114.281,1.5477,3.71971,1.20085,0.01244,0.06325,0.02013,0.01197,1.58605,4.74201,1.33745,4.17033e-05,4.17033e-05,4.17033e-05
39,117.437,1.49472,3.67891,1.17581,0.01268,0.06501,0.02028,0.01217,1.58164,4.73512,1.33301,4.16142e-05,4.16142e-05,4.16142e-05
40,120.044,1.53541,3.82226,1.15966,0.01454,0.0682,0.02145,0.01305,1.5838,4.73522,1.33481,4.15251e-05,4.15251e-05,4.15251e-05
41,122.499,1.45012,3.5093,1.16654,0.0151,0.07104,0.02215,0.01336,1.58986,4.708,1.33482,4.1436e-05,4.1436e-05,4.1436e-05
42,125.034,1.50515,3.45517,1.1683,0.01579,0.07761,0.02427,0.01495,1.59105,4.69818,1.33535,4.13469e-05,4.13469e-05,4.13469e-05
43,127.548,1.51626,3.43133,1.15607,0.01594,0.07941,0.02462,0.01529,1.59397,4.6881,1.3353,4.12578e-05,4.12578e-05,4.12578e-05
44,130.621,1.47253,3.39556,1.1677,0.01745,0.08764,0.02651,0.01649,1.59544,4.66294,1.33338,4.11687e-05,4.11687e-05,4.11687e-05
45,133.426,1.44436,3.1293,1.1602,0.01701,0.08664,0.0265,0.01665,1.5984,4.64153,1.33241,4.10796e-05,4.10796e-05,4.10796e-05
46,135.889,1.45777,3.10473,1.13938,0.01744,0.08656,0.02664,0.01641,1.59896,4.62431,1.33243,4.09905e-05,4.09905e-05,4.09905e-05
47,138.31,1.48074,3.22858,1.14603,0.01812,0.08501,0.02847,0.01775,1.6045,4.61272,1.33688,4.09014e-05,4.09014e-05,4.09014e-05
48,140.89,1.45976,3.19999,1.12401,0.01848,0.08752,0.02847,0.01776,1.60713,4.59335,1.33756,4.08123e-05,4.08123e-05,4.08123e-05
49,143.922,1.46598,3.04567,1.1736,0.01908,0.08459,0.02922,0.01841,1.60925,4.55584,1.33427,4.07232e-05,4.07232e-05,4.07232e-05
50,146.767,1.47561,3.13056,1.12011,0.01968,0.08545,0.03071,0.01901,1.61381,4.54094,1.33551,4.06341e-05,4.06341e-05,4.06341e-05
51,149.301,1.4298,2.82441,1.14285,0.02031,0.08807,0.03252,0.02016,1.61057,4.51945,1.33278,4.0545e-05,4.0545e-05,4.0545e-05
52,151.864,1.47586,3.04713,1.14673,0.13875,0.07877,0.03305,0.02066,1.60988,4.49663,1.33024,4.04559e-05,4.04559e-05,4.04559e-05
53,154.414,1.44827,2.91407,1.13246,0.19749,0.07342,0.0331,0.02059,1.60917,4.47853,1.327,4.03668e-05,4.03668e-05,4.03668e-05
54,157.237,1.47812,3.06326,1.17598,0.25997,0.0636,0.03384,0.02109,1.6062,4.46548,1.3239,4.02777e-05,4.02777e-05,4.02777e-05
55,160.255,1.42612,2.72883,1.16825,0.2588,0.06802,0.03522,0.02212,1.60191,4.47194,1.32125,4.01886e-05,4.01886e-05,4.01886e-05
56,162.818,1.51803,2.92961,1.12717,0.17546,0.07239,0.03588,0.0228,1.5984,4.47748,1.3174,4.00995e-05,4.00995e-05,4.00995e-05
57,165.301,1.40033,2.78519,1.11525,0.22308,0.07073,0.03694,0.02337,1.5923,4.47898,1.31202,4.00104e-05,4.00104e-05,4.00104e-05
58,167.809,1.42527,2.82609,1.11981,0.04406,0.10504,0.03711,0.02384,1.59312,4.48467,1.31114,3.99213e-05,3.99213e-05,3.99213e-05
59,170.613,1.48313,2.87731,1.1236,0.05635,0.10404,0.03638,0.0235,1.59714,4.47813,1.31141,3.98322e-05,3.98322e-05,3.98322e-05
60,173.578,1.48299,2.91476,1.11642,0.02024,0.10246,0.03648,0.02335,1.60571,4.47875,1.31281,3.97431e-05,3.97431e-05,3.97431e-05
61,176.122,1.42665,2.67202,1.0983,0.02086,0.10328,0.03625,0.02304,1.61635,4.4736,1.31665,3.9654e-05,3.9654e-05,3.9654e-05
62,178.559,1.41448,2.51575,1.14559,0.02125,0.102,0.0351,0.02215,1.62712,4.46209,1.31712,3.95649e-05,3.95649e-05,3.95649e-05
63,180.988,1.41279,2.53413,1.09069,0.02205,0.10443,0.03617,0.02277,1.62728,4.45863,1.31564,3.94758e-05,3.94758e-05,3.94758e-05
64,183.482,1.39001,2.57863,1.10659,0.02332,0.10715,0.03689,0.02301,1.62443,4.44293,1.314,3.93867e-05,3.93867e-05,3.93867e-05
65,186.808,1.41254,2.42831,1.14077,0.02449,0.11002,0.0399,0.02491,1.61794,4.4239,1.30971,3.92976e-05,3.92976e-05,3.92976e-05
66,189.806,1.40163,2.39372,1.10977,0.02512,0.1126,0.04198,0.02641,1.61158,4.40923,1.30845,3.92085e-05,3.92085e-05,3.92085e-05
67,192.973,1.39884,2.38044,1.14479,0.02531,0.11546,0.04298,0.02671,1.60186,4.38768,1.30531,3.91194e-05,3.91194e-05,3.91194e-05
68,195.508,1.39551,2.39305,1.11696,0.02529,0.11892,0.04453,0.02763,1.5913,4.37824,1.30181,3.90303e-05,3.90303e-05,3.90303e-05
69,198.31,1.37499,2.35459,1.15291,0.02587,0.11903,0.04566,0.02899,1.58552,4.36708,1.29845,3.89412e-05,3.89412e-05,3.89412e-05
70,201.382,1.36483,2.29437,1.12581,0.10985,0.09009,0.04494,0.02855,1.5834,4.367,1.29488,3.88521e-05,3.88521e-05,3.88521e-05
71,203.789,1.37294,2.36777,1.09959,0.16867,0.07886,0.04478,0.02879,1.57913,4.37037,1.29286,3.8763e-05,3.8763e-05,3.8763e-05
72,206.234,1.34014,2.21468,1.11231,0.317,0.0425,0.04545,0.02915,1.58182,4.37825,1.29478,3.86739e-05,3.86739e-05,3.86739e-05
73,208.75,1.39137,2.32187,1.11308,0.30376,0.04281,0.04567,0.02938,1.58388,4.38898,1.29548,3.85848e-05,3.85848e-05,3.85848e-05
74,211.451,1.35382,2.18013,1.071,0.28099,0.0437,0.04495,0.02926,1.58429,4.40816,1.29963,3.84957e-05,3.84957e-05,3.84957e-05
75,214.581,1.37896,2.21303,1.08425,0.28096,0.05071,0.04527,0.02925,1.5943,4.4203,1.30479,3.84066e-05,3.84066e-05,3.84066e-05
76,217.093,1.34752,2.21368,1.09899,0.29924,0.04966,0.04453,0.02876,1.6072,4.43077,1.31026,3.83175e-05,3.83175e-05,3.83175e-05
77,219.588,1.37311,2.17541,1.08743,0.33184,0.04799,0.04329,0.02788,1.61131,4.4473,1.3127,3.82284e-05,3.82284e-05,3.82284e-05
78,221.945,1.30053,2.08017,1.07832,0.31721,0.04958,0.04305,0.02748,1.60966,4.44468,1.31347,3.81393e-05,3.81393e-05,3.81393e-05
